csv_name,display_name,slug,path,status
Venusaur,Venusaur,venusaur,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\venusaur.png,cached
Charizard,Charizard,charizard,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\charizard.png,ok
Blastoise,Blastoise,blastoise,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\blastoise.png,ok
Butterfree,Butterfree,butterfree,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\butterfree.png,ok
Beedrill,Beedrill,beedrill,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\beedrill.png,ok
Pidgeot,Pidgeot,pidgeot,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\pidgeot.png,ok
Raticate,Raticate,raticate,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\raticate.png,ok
Raticate  Alolan Raticate,Raticate (Alolan Raticate),raticate-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\raticate-alolan.png,ok
Fearow,Fearow,fearow,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\fearow.png,ok
Arbok,Arbok,arbok,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\arbok.png,ok
Pikachu,Pikachu,pikachu,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\pikachu.png,ok
Raichu,Raichu,raichu,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\raichu.png,ok
Raichu  Alolan Raichu,Raichu (Alolan Raichu),raichu-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\raichu-alolan.png,ok
Sandslash,Sandslash,sandslash,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sandslash.png,ok
Sandslash  Alolan Sandslash,Sandslash (Alolan Sandslash),sandslash-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\sandslash-alolan.png,ok
Nidoqueen,Nidoqueen,nidoqueen,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\nidoqueen.png,ok
Nidoking,Nidoking,nidoking,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\nidoking.png,ok
Clefable,Clefable,clefable,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\clefable.png,ok
Ninetales,Ninetales,ninetales,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ninetales.png,ok
Ninetales  Alolan Ninetales,Ninetales (Alolan Ninetales),ninetales-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\ninetales-alolan.png,ok
Wigglytuff,Wigglytuff,wigglytuff,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\wigglytuff.png,ok
Vileplume,Vileplume,vileplume,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\vileplume.png,ok
Parasect,Parasect,parasect,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\parasect.png,ok
Venomoth,Venomoth,venomoth,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\venomoth.png,ok
Dugtrio,Dugtrio,dugtrio,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\dugtrio.png,ok
Dugtrio  Alolan Dugtrio,Dugtrio (Alolan Dugtrio),dugtrio-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\dugtrio-alolan.png,ok
Persian,Persian,persian,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\persian.png,ok
Persian  Alolan Persian,Persian (Alolan Persian),persian-alolan,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\persian-alolan.png,ok
Golduck,Golduck,golduck,C:\Users\Richard\Documents\Python Projects\Pokemon Segmentation\5 Cluster\images\golduck.png,ok
