Dex_Number,Name,Type,Generation,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Total,Cluster,Archetype
3,Venusaur,Grass  Poison,1,80,82,83,100,100,80,525,3,Sp. Fighter
6,Charizard,Fire  Flying,1,78,84,78,109,85,100,534,1,Below Average
9,Blastoise,Water,1,79,83,100,85,105,78,530,3,Sp. Fighter
12,Butterfree,Bug  Flying,1,60,45,50,90,80,70,395,1,Below Average
15,Beedrill,Bug  Poison,1,65,90,40,45,80,75,395,1,Below Average
18,Pidgeot,Normal  Flying,1,83,80,75,70,70,101,479,1,Below Average
20,Raticate,Normal,1,55,81,60,50,70,97,413,1,Below Average
20,Raticate  Alolan Raticate,Dark  Normal,1,75,71,70,40,80,77,413,1,Below Average
22,Fearow,Normal  Flying,1,65,90,65,61,61,100,442,1,Below Average
24,Arbok,Poison,1,60,95,69,65,79,80,448,1,Below Average
25,Pikachu,Electric,1,35,55,40,50,50,90,320,1,Below Average
26,Raichu,Electric,1,60,90,55,90,80,110,485,1,Below Average
26,Raichu  Alolan Raichu,Electric  Psychic,1,60,85,50,95,85,110,485,1,Below Average
28,Sandslash,Ground,1,75,100,110,45,55,65,450,4,Physical Wall
28,Sandslash  Alolan Sandslash,Ice  Steel,1,75,100,120,25,65,65,450,4,Physical Wall
31,Nidoqueen,Poison  Ground,1,90,92,87,75,85,76,505,4,Physical Wall
34,Nidoking,Poison  Ground,1,81,102,77,85,75,85,505,1,Below Average
36,Clefable,Fairy,1,95,70,73,95,90,60,483,0,HP Tank
38,Ninetales,Fire,1,73,76,75,81,100,100,505,1,Below Average
38,Ninetales  Alolan Ninetales,Ice  Fairy,1,73,67,75,81,100,109,505,1,Below Average
40,Wigglytuff,Normal  Fairy,1,140,70,45,85,50,45,435,0,HP Tank
45,Vileplume,Grass  Poison,1,75,80,85,110,90,50,490,3,Sp. Fighter
47,Parasect,Bug  Grass,1,60,95,80,60,80,30,405,4,Physical Wall
49,Venomoth,Bug  Poison,1,70,65,60,90,75,90,450,1,Below Average
51,Dugtrio,Ground,1,35,100,50,50,70,120,425,1,Below Average
51,Dugtrio  Alolan Dugtrio,Ground  Steel,1,35,100,60,50,70,110,425,1,Below Average
53,Persian,Normal,1,65,70,60,65,65,115,440,1,Below Average
53,Persian  Alolan Persian,Dark,1,65,60,60,75,65,115,440,1,Below Average
55,Golduck,Water,1,80,82,78,95,80,85,500,1,Below Average
59,Arcanine,Fire,1,90,110,80,100,80,95,555,2,All-Rounder
59,Arcanine  Hisuian Arcanine,Fire  Rock,1,95,115,80,95,80,90,555,2,All-Rounder
62,Poliwrath,Water  Fighting,1,90,95,95,70,90,70,510,4,Physical Wall
65,Alakazam,Psychic,1,55,50,45,135,95,120,500,1,Below Average
68,Machamp,Fighting,1,90,130,80,65,85,55,505,4,Physical Wall
71,Victreebel,Grass  Poison,1,80,105,65,100,70,70,490,1,Below Average
73,Tentacruel,Water  Poison,1,80,70,65,80,120,100,515,3,Sp. Fighter
76,Golem,Rock  Ground,1,80,120,130,55,65,45,495,4,Physical Wall
