Dex_Number,Name,Type,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation
3,Venusaur,Grass  Poison,525,80,82,83,100,100,80,1
6,Charizard,Fire  Flying,534,78,84,78,109,85,100,1
9,Blastoise,Water,530,79,83,100,85,105,78,1
12,Butterfree,Bug  Flying,395,60,45,50,90,80,70,1
15,Beedrill,Bug  Poison,395,65,90,40,45,80,75,1
18,Pidgeot,Normal  Flying,479,83,80,75,70,70,101,1
20,Raticate,Normal,413,55,81,60,50,70,97,1
20,Raticate  Alolan Raticate,Dark  Normal,413,75,71,70,40,80,77,1
22,Fearow,Normal  Flying,442,65,90,65,61,61,100,1
24,Arbok,Poison,448,60,95,69,65,79,80,1
25,Pikachu,Electric,320,35,55,40,50,50,90,1
26,Raichu,Electric,485,60,90,55,90,80,110,1
26,Raichu  Alolan Raichu,Electric  Psychic,485,60,85,50,95,85,110,1
28,Sandslash,Ground,450,75,100,110,45,55,65,1
28,Sandslash  Alolan Sandslash,Ice  Steel,450,75,100,120,25,65,65,1
31,Nidoqueen,Poison  Ground,505,90,92,87,75,85,76,1
34,Nidoking,Poison  Ground,505,81,102,77,85,75,85,1
36,Clefable,Fairy,483,95,70,73,95,90,60,1
38,Ninetales,Fire,505,73,76,75,81,100,100,1
38,Ninetales  Alolan Ninetales,Ice  Fairy,505,73,67,75,81,100,109,1
40,Wigglytuff,Normal  Fairy,435,140,70,45,85,50,45,1
45,Vileplume,Grass  Poison,490,75,80,85,110,90,50,1
47,Parasect,Bug  Grass,405,60,95,80,60,80,30,1
49,Venomoth,Bug  Poison,450,70,65,60,90,75,90,1
51,Dugtrio,Ground,425,35,100,50,50,70,120,1
51,Dugtrio  Alolan Dugtrio,Ground  Steel,425,35,100,60,50,70,110,1
53,Persian,Normal,440,65,70,60,65,65,115,1
53,Persian  Alolan Persian,Dark,440,65,60,60,75,65,115,1
55,Golduck,Water,500,80,82,78,95,80,85,1
59,Arcanine,Fire,555,90,110,80,100,80,95,1
59,Arcanine  Hisuian Arcanine,Fire  Rock,555,95,115,80,95,80,90,1
62,Poliwrath,Water  Fighting,510,90,95,95,70,90,70,1
65,Alakazam,Psychic,500,55,50,45,135,95,120,1
68,Machamp,Fighting,505,90,130,80,65,85,55,1
71,Victreebel,Grass  Poison,490,80,105,65,100,70,70,1
73,Tentacruel,Water  Poison,515,80,70,65,80,120,100,1
76,Golem,Rock  Ground,495,80,120,130,55,65,45,1
76,Golem  Alolan Golem,Rock  Electric,495,80,120,130,55,65,45,1
78,Rapidash,Fire,500,65,100,70,80,80,105,1
78,Rapidash  Galarian Rapidash,Psychic  Fairy,500,65,100,70,80,80,105,1
80,Slowbro,Water  Psychic,490,95,75,110,100,80,30,1
80,Slowbro  Galarian Slowbro,Poison  Psychic,490,95,100,95,100,70,30,1
83,Farfetch'd,Normal  Flying,377,52,90,55,58,62,60,1
83,Farfetch'd  Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55,1
85,Dodrio,Normal  Flying,470,60,110,70,60,60,110,1
87,Dewgong,Water  Ice,475,90,70,80,70,95,70,1
89,Muk,Poison,500,105,105,75,65,100,50,1
89,Muk  Alolan Muk,Poison  Dark,500,105,105,75,65,100,50,1
91,Cloyster,Water  Ice,525,50,95,180,85,45,70,1
94,Gengar,Ghost  Poison,500,60,65,60,130,75,110,1
97,Hypno,Psychic,483,85,73,70,73,115,67,1
99,Kingler,Water,475,55,130,115,50,50,75,1
101,Electrode,Electric,490,60,50,70,80,80,150,1
101,Electrode  Hisuian Electrode,Electric  Grass,490,60,50,70,80,80,150,1
103,Exeggutor,Grass  Psychic,530,95,95,85,125,75,55,1
103,Exeggutor  Alolan Exeggutor,Grass  Dragon,530,95,105,85,125,75,45,1
105,Marowak,Ground,425,60,80,110,50,80,45,1
105,Marowak  Alolan Marowak,Fire  Ghost,425,60,80,110,50,80,45,1
106,Hitmonlee,Fighting,455,50,120,53,35,110,87,1
107,Hitmonchan,Fighting,455,50,105,79,35,110,76,1
110,Weezing,Poison,490,65,90,120,85,70,60,1
110,Weezing  Galarian Weezing,Poison  Fairy,490,65,90,120,85,70,60,1
115,Kangaskhan,Normal,490,105,95,80,40,80,90,1
119,Seaking,Water,450,80,92,65,65,80,68,1
121,Starmie,Water  Psychic,520,60,75,85,100,85,115,1
122,Mr. Mime,Psychic  Fairy,460,40,45,65,100,120,90,1
122,Mr. Mime  Galarian Mr. Mime,Ice  Psychic,460,50,65,65,90,90,100,1
124,Jynx,Ice  Psychic,455,65,50,35,115,95,95,1
127,Pinsir,Bug,500,65,125,100,55,70,85,1
128,Tauros,Normal,490,75,100,95,40,70,110,1
128,Tauros  Combat Breed,Fighting,490,75,110,105,30,70,100,1
128,Tauros  Blaze Breed,Fighting  Fire,490,75,110,105,30,70,100,1
128,Tauros  Aqua Breed,Fighting  Water,490,75,110,105,30,70,100,1
130,Gyarados,Water  Flying,540,95,125,79,60,100,81,1
131,Lapras,Water  Ice,535,130,85,80,85,95,60,1
132,Ditto,Normal,288,48,48,48,48,48,48,1
133,Eevee,Normal,325,55,55,50,45,65,55,1
134,Vaporeon,Water,525,130,65,60,110,95,65,1
135,Jolteon,Electric,525,65,65,60,110,95,130,1
136,Flareon,Fire,525,65,130,60,95,110,65,1
139,Omastar,Rock  Water,495,70,60,125,115,70,55,1
141,Kabutops,Rock  Water,495,60,115,105,65,70,80,1
142,Aerodactyl,Rock  Flying,515,80,105,65,60,75,130,1
143,Snorlax,Normal,540,160,110,65,65,110,30,1
144,Articuno,Ice  Flying,580,90,85,100,95,125,85,1
